,treatment_toll,death_toll,etaw_toll,patient_toll
0,0,0,0,297
1,0,0,0,297
2,0,0,0,297
3,0,0,0,297
4,0,0,0,297
5,0,0,0,297
6,0,0,0,297
7,0,0,0,297
8,0,0,0,297
9,0,0,0,297
10,0,0,0,297
11,0,0,0,297
12,0,0,0,297
13,0,0,0,297
14,0,0,0,297
15,0,0,0,297
16,0,0,0,297
17,0,0,0,297
18,0,0,0,297
19,0,0,0,297
20,0,0,0,297
21,0,0,0,297
22,0,0,0,297
23,0,0,0,297
24,0,0,0,297
25,0,0,0,297
26,0,0,0,297
27,0,0,0,297
28,0,0,0,297
29,0,0,0,297
30,0,0,0,297
31,0,0,0,297
32,0,0,0,297
33,0,0,0,297
34,0,0,0,297
35,0,0,0,297
36,0,0,0,297
37,0,0,0,297
38,0,0,0,297
39,0,0,0,297
40,0,0,0,297
41,0,0,0,297
42,0,0,0,297
43,0,0,0,297
44,0,0,0,297
45,0,0,0,297
46,0,0,0,297
47,0,0,0,297
48,0,0,0,297
49,0,0,0,297
50,0,0,0,297
51,0,0,0,297
52,0,0,0,297
53,0,0,0,297
54,0,0,0,297
55,0,0,0,297
56,0,0,0,297
57,0,0,0,297
58,0,0,0,297
59,0,0,0,297
60,0,0,0,297
61,0,0,0,297
62,0,0,0,297
63,0,0,0,297
64,0,0,0,297
65,0,0,0,297
66,0,0,0,297
67,0,0,0,297
68,0,0,0,297
69,0,0,0,297
70,0,0,0,297
71,0,0,0,297
72,0,0,0,297
73,0,0,0,297
74,0,0,0,297
75,0,0,0,297
76,0,0,0,297
77,0,0,0,297
78,0,0,0,297
79,0,0,0,297
80,0,0,0,297
81,0,0,0,297
82,0,0,0,297
83,0,0,0,297
84,0,0,0,297
85,0,0,0,297
86,0,0,0,297
87,0,0,0,297
88,0,0,0,297
89,0,0,0,297
90,0,0,0,297
91,0,0,0,297
92,0,0,0,297
93,0,0,0,297
94,0,0,0,297
95,0,0,0,297
96,0,0,0,297
97,0,0,0,297
98,0,0,0,297
99,0,0,0,297
100,0,0,0,297
101,0,0,0,297
102,0,0,0,297
103,0,0,0,297
104,0,0,0,297
105,0,0,0,297
106,0,0,0,297
107,0,0,0,297
108,0,0,0,297
109,0,0,0,297
110,0,0,0,297
111,0,0,0,297
112,0,0,0,297
113,0,0,0,297
114,0,0,0,297
115,0,0,0,297
116,0,0,0,297
117,0,0,0,297
118,0,0,0,297
119,0,0,0,297
120,0,0,0,297
121,0,0,0,297
122,0,0,0,297
123,0,0,0,297
124,0,0,0,297
125,0,0,0,297
126,0,0,0,297
127,0,0,0,297
128,0,0,0,297
129,0,0,0,297
130,0,0,0,297
131,0,0,0,297
132,0,0,0,297
133,0,0,0,297
134,0,0,0,297
135,0,0,0,297
136,0,0,0,297
137,0,0,0,297
138,0,0,0,297
139,0,0,0,297
140,0,0,0,297
141,0,0,0,297
142,0,0,0,297
143,0,0,0,297
144,0,0,0,297
145,0,0,0,297
146,0,0,0,297
147,0,0,0,297
148,0,0,0,297
149,0,0,0,297
150,0,0,0,297
151,0,0,0,297
152,0,0,0,297
153,0,0,0,297
154,0,0,0,297
155,0,0,0,297
156,0,0,0,297
157,0,0,0,297
158,0,0,0,297
159,0,0,0,297
160,0,0,0,297
161,0,0,0,297
162,0,0,0,297
163,0,0,0,297
164,0,0,0,297
165,0,0,0,297
166,0,0,0,297
167,0,0,0,297
168,0,0,0,297
169,0,0,0,297
170,0,0,0,297
171,0,0,0,297
172,0,0,0,297
173,0,0,0,297
174,0,0,0,297
175,0,0,0,297
176,0,0,0,297
177,0,0,0,297
178,0,0,0,297
179,0,0,0,297
180,0,0,0,297
181,0,0,0,297
182,0,0,0,297
183,0,0,0,297
184,0,0,0,297
185,0,0,0,297
186,0,0,0,297
187,0,0,0,297
188,0,0,0,297
189,0,0,0,297
190,0,0,0,297
191,0,0,0,297
192,0,0,0,297
193,0,0,0,297
194,0,0,0,297
195,0,0,0,297
196,0,0,0,297
197,0,0,0,297
198,0,0,0,297
199,0,0,0,297
200,0,0,0,297
201,0,0,0,297
202,0,0,0,297
203,0,0,0,297
204,0,0,0,297
205,0,0,0,297
206,0,0,0,297
207,0,0,0,297
208,0,0,0,297
209,0,0,0,297
210,0,0,0,297
211,0,0,0,297
212,0,0,0,297
213,0,0,0,297
214,0,0,0,297
215,0,0,0,297
216,0,0,0,297
217,0,0,0,297
218,0,0,0,297
219,0,0,0,297
220,0,0,0,297
221,0,0,0,297
222,0,0,0,297
223,0,0,0,297
224,0,0,0,297
225,0,0,0,297
226,0,0,0,297
227,0,0,0,297
228,0,0,0,297
229,0,0,0,297
230,0,0,0,297
231,0,0,0,297
232,0,0,0,297
233,0,0,0,297
234,0,0,0,297
235,0,0,0,297
236,0,0,0,297
237,0,0,0,297
238,0,0,0,297
239,0,0,0,297
240,0,0,0,297
241,0,0,0,297
242,0,0,0,297
243,0,0,0,297
244,0,0,0,297
245,0,0,0,297
246,0,0,0,297
247,0,0,0,297
248,0,0,0,297
249,0,0,0,297
250,0,0,0,297
251,0,0,0,297
252,0,0,0,297
253,0,0,0,297
254,0,0,0,297
255,0,0,0,297
256,0,0,0,297
257,0,0,0,297
258,0,0,0,297
259,0,0,0,297
260,0,0,0,297
261,0,0,0,297
262,0,0,0,297
263,0,0,0,297
264,0,0,0,297
265,0,0,0,297
266,0,0,0,297
267,0,0,0,297
268,0,0,0,297
269,0,0,0,297
270,0,0,0,297
271,0,0,0,297
272,0,0,0,297
273,0,0,0,297
274,0,0,0,297
275,0,0,0,297
276,0,0,0,297
277,0,0,0,297
278,0,0,0,297
279,0,0,0,297
280,0,0,0,297
281,0,0,0,297
282,0,0,0,297
283,0,0,0,297
284,0,0,0,297
285,0,0,0,297
286,0,0,0,297
287,0,0,0,297
288,0,0,0,297
289,0,0,0,297
290,0,0,0,297
291,0,0,0,297
292,0,0,0,297
293,0,0,0,297
294,0,0,0,297
295,0,0,0,297
296,0,0,0,297
297,0,0,0,297
298,0,0,0,297
299,0,0,0,297
300,0,0,0,297
301,0,0,0,297
302,0,0,0,297
303,0,0,0,297
304,0,0,0,297
305,0,0,0,297
306,0,0,0,297
307,0,0,0,297
308,0,0,0,297
309,0,0,0,297
310,0,0,0,297
311,0,0,0,297
312,0,0,0,297
313,0,0,0,297
314,0,0,0,297
315,0,0,0,297
316,0,0,0,297
317,0,0,0,297
318,0,0,0,297
319,0,0,0,297
320,0,0,0,297
321,0,0,0,297
322,0,0,0,297
323,0,0,0,297
324,0,0,0,297
325,0,0,0,297
326,0,0,0,297
327,0,0,0,297
328,0,0,0,297
329,0,0,0,297
330,0,0,0,297
331,0,0,0,297
332,0,0,0,297
333,0,0,0,297
334,0,0,0,297
335,0,0,0,297
336,0,0,0,297
337,0,0,0,297
338,0,0,0,297
339,0,0,0,297
340,0,0,0,297
341,0,0,0,297
342,0,0,0,297
343,0,0,0,297
344,0,0,0,297
345,0,0,0,297
346,0,0,0,297
347,0,0,0,297
348,0,0,0,297
349,0,0,0,297
350,0,0,0,297
351,0,0,0,297
352,0,0,0,297
353,0,0,0,297
354,0,0,0,297
355,0,0,0,297
356,0,0,0,297
357,0,0,0,297
358,0,0,0,297
359,0,0,0,297
360,0,0,0,297
361,0,0,0,297
362,0,0,0,297
363,0,0,0,297
364,0,0,0,297
365,0,0,0,297
366,0,0,0,297
367,0,0,0,297
368,0,0,0,297
369,0,0,0,297
370,0,0,0,297
371,0,0,0,297
372,0,0,0,297
373,0,0,0,297
374,0,0,0,297
375,0,0,0,297
376,0,0,0,297
377,0,0,0,297
378,0,0,0,297
379,0,0,0,297
380,0,0,0,297
381,0,0,0,297
382,0,0,0,297
383,0,0,0,297
384,0,0,0,297
385,0,0,0,297
386,0,0,0,297
387,0,0,0,297
388,0,0,0,297
389,0,0,0,297
390,0,0,0,297
391,0,0,0,297
392,0,0,0,297
393,0,0,0,297
394,0,0,0,297
395,0,0,0,297
396,0,0,0,297
397,0,0,0,297
398,0,0,0,297
399,0,0,0,297
400,0,0,0,297
401,0,0,0,297
402,0,0,0,297
403,0,0,0,297
404,0,0,0,297
405,0,0,0,297
406,0,0,0,297
407,0,0,0,297
408,0,0,0,297
409,0,0,0,297
410,0,0,0,297
411,0,0,0,297
412,0,0,0,297
413,0,0,0,297
414,0,0,0,297
415,0,0,0,297
416,0,0,0,297
417,0,0,0,297
418,0,0,0,297
419,0,0,0,297
420,0,0,0,297
421,0,0,0,297
422,0,0,0,297
423,0,0,0,297
424,0,0,0,297
425,0,0,0,297
426,0,0,0,297
427,0,0,0,297
428,0,0,0,297
429,0,0,0,297
430,0,0,0,297
431,0,0,0,297
432,0,0,0,297
433,0,0,0,297
434,0,0,0,297
435,0,0,0,297
436,0,0,0,297
437,0,0,0,297
438,0,0,0,297
439,0,0,0,297
440,0,0,0,297
441,0,0,0,297
442,0,0,0,297
443,0,0,0,297
444,0,0,0,297
445,0,0,0,297
446,0,0,0,297
447,0,0,0,297
448,0,0,0,297
449,0,0,0,297
450,0,0,0,297
451,0,0,0,297
452,0,0,0,297
453,0,0,0,297
454,0,0,0,297
455,0,0,0,297
456,0,0,0,297
457,0,0,0,297
458,0,0,0,297
459,0,0,0,297
460,0,0,0,297
461,0,0,0,297
462,0,0,0,297
463,0,0,0,297
464,0,0,0,297
465,0,0,0,297
466,0,0,0,297
467,0,0,0,297
468,0,0,0,297
469,0,0,0,297
470,0,0,0,297
471,0,0,0,297
472,0,0,0,297
473,0,0,0,297
474,0,0,0,297
475,0,0,0,297
476,0,0,0,297
477,0,0,0,297
478,0,0,0,297
479,0,0,0,297
480,0,0,0,297
481,0,0,0,297
482,0,0,0,297
483,0,0,0,297
484,0,0,0,297
485,0,0,0,297
486,0,0,0,297
487,0,0,0,297
488,0,0,0,297
489,0,0,0,297
490,0,0,0,297
491,0,0,0,297
492,0,0,0,297
493,0,0,0,297
494,0,0,0,297
495,0,0,0,297
496,0,0,0,297
497,0,0,0,297
498,0,0,0,297
499,0,0,0,297
500,0,0,0,297
501,0,0,0,297
502,0,0,0,297
503,0,0,0,297
504,0,0,0,297
505,0,0,0,297
506,0,0,0,297
507,0,0,0,297
508,0,0,0,297
509,0,0,0,297
510,0,0,0,297
511,0,0,0,297
512,0,0,0,297
513,0,0,0,297
514,0,0,0,297
515,0,0,0,297
516,0,0,0,297
517,0,0,0,297
518,0,0,0,297
519,0,0,0,297
520,0,0,0,297
521,0,0,0,297
522,0,0,0,297
523,0,0,0,297
524,0,0,0,297
525,0,0,0,297
526,0,0,0,297
527,0,0,0,297
528,0,0,0,297
529,0,0,0,297
530,0,0,0,297
531,0,0,0,297
532,0,0,0,297
533,0,0,0,297
534,0,0,0,297
535,0,0,0,297
536,0,0,0,297
537,0,0,0,297
538,0,0,0,297
539,0,0,0,297
540,0,0,0,297
541,0,0,0,297
542,0,0,0,297
543,0,0,0,297
544,0,0,0,297
545,0,0,0,297
546,0,0,0,297
547,0,0,0,297
548,0,0,0,297
549,0,0,0,297
550,0,0,0,297
551,0,0,0,297
552,0,0,0,297
553,0,0,0,297
554,0,0,0,297
555,0,0,0,297
556,0,0,0,297
557,0,0,0,297
558,0,0,0,297
559,0,0,0,297
560,0,0,0,297
561,0,0,0,297
562,0,0,0,297
563,0,0,0,297
564,0,0,0,297
565,0,0,0,297
566,0,0,0,297
567,0,0,0,297
568,0,0,0,297
569,0,0,0,297
570,0,0,0,297
571,0,0,0,297
572,0,0,0,297
573,0,0,0,297
574,0,0,0,297
575,0,0,0,297
576,0,0,0,297
577,0,0,0,297
578,0,0,0,297
579,0,0,0,297
580,0,0,0,297
581,0,0,0,297
582,0,0,0,297
583,0,0,0,297
584,0,0,0,297
585,0,0,0,297
586,0,0,0,297
587,0,0,0,297
588,0,0,0,297
589,0,0,0,297
590,0,0,0,297
591,0,0,0,297
592,0,0,0,297
593,0,0,0,297
594,0,0,0,297
595,0,0,0,297
596,0,0,0,297
597,0,0,0,297
598,0,0,0,297
599,0,0,0,297
600,0,0,0,297
601,0,0,0,297
602,0,0,0,297
603,0,0,0,297
604,0,0,0,297
605,0,0,0,297
606,0,0,0,297
607,0,0,0,297
608,0,0,0,297
609,0,0,0,297
610,0,0,0,297
611,0,0,0,297
612,0,0,0,297
613,0,0,0,297
614,0,0,0,297
615,0,0,0,297
616,0,0,0,297
617,0,0,0,297
618,0,0,0,297
619,0,0,0,297
620,0,0,0,297
621,0,0,0,297
622,0,0,0,297
623,0,0,0,297
624,0,0,0,297
625,0,0,0,297
626,0,0,0,297
627,0,0,0,297
628,0,0,0,297
629,0,0,0,297
630,0,0,0,297
631,0,0,0,297
632,0,0,0,297
633,0,0,0,297
634,0,0,0,297
635,0,0,0,297
636,0,0,0,297
637,0,0,0,297
638,0,0,0,297
639,0,0,0,297
640,0,0,0,297
641,0,0,0,297
642,0,0,0,297
643,0,0,0,297
644,0,0,0,297
645,0,0,0,297
646,0,0,0,297
647,0,0,0,297
648,0,0,0,297
649,0,0,0,297
650,0,0,0,297
651,0,0,0,297
652,0,0,0,297
653,0,0,0,297
654,0,0,0,297
655,0,0,0,297
656,0,0,0,297
657,0,0,0,297
658,0,0,0,297
659,0,0,0,297
660,0,0,0,297
661,0,0,0,297
662,0,0,0,297
663,0,0,0,297
664,0,0,0,297
665,0,0,0,297
666,0,0,0,297
667,0,0,0,297
668,0,0,0,297
669,0,0,0,297
670,0,0,0,297
671,0,0,0,297
672,0,0,0,297
673,0,0,0,297
674,0,0,0,297
675,0,0,0,297
676,0,0,0,297
677,0,0,0,297
678,0,0,0,297
679,0,0,0,297
680,0,0,0,297
681,0,0,0,297
682,0,0,0,297
683,0,0,0,297
684,0,0,0,297
685,0,0,0,297
686,0,0,0,297
687,0,0,0,297
688,0,0,0,297
689,0,0,0,297
690,0,0,0,297
691,0,0,0,297
692,0,0,0,297
693,0,0,0,297
694,0,0,0,297
695,0,0,0,297
696,0,0,0,297
697,0,0,0,297
698,0,0,0,297
699,0,0,0,297
700,0,0,0,297
701,0,0,0,297
702,0,0,0,297
703,0,0,0,297
704,0,0,0,297
705,0,0,0,297
706,0,0,0,297
707,0,0,0,297
708,0,0,0,297
709,0,0,0,297
710,0,0,0,297
711,0,0,0,297
712,0,0,0,297
713,0,0,0,297
714,0,0,0,297
715,0,0,0,297
716,0,0,0,297
717,0,0,0,297
718,0,0,0,297
719,0,0,0,297
720,0,0,0,297
721,0,0,0,297
722,0,0,0,297
723,0,0,0,297
724,0,0,0,297
725,0,0,0,297
726,0,0,0,297
727,0,0,0,297
728,0,0,0,297
729,0,0,0,297
730,0,0,0,297
731,0,0,0,297
732,0,0,0,297
733,0,0,0,297
734,0,0,0,297
735,0,0,0,297
736,0,0,0,297
737,0,0,0,297
738,0,0,0,297
739,0,0,0,297
740,0,0,0,297
741,0,0,0,297
742,0,0,0,297
743,0,0,0,297
744,0,0,0,297
745,0,0,0,297
746,0,0,0,297
747,0,0,0,297
748,0,0,0,297
749,0,0,0,297
750,0,0,0,297
751,0,0,0,297
752,0,0,0,297
753,0,0,0,297
754,0,0,0,297
755,0,0,0,297
756,0,0,0,297
757,0,0,0,297
758,0,0,0,297
759,0,0,0,297
760,0,0,0,297
761,0,0,0,297
762,0,0,0,297
763,0,0,0,297
764,0,0,0,297
765,0,0,0,297
766,0,0,0,297
767,0,0,0,297
768,0,0,0,297
769,0,0,0,297
770,0,0,0,297
771,0,0,0,297
772,0,0,0,297
773,0,0,0,297
774,0,0,0,297
775,0,0,0,297
776,0,0,0,297
777,0,0,0,297
778,0,0,0,297
779,0,0,0,297
780,0,0,0,297
781,0,0,0,297
782,0,0,0,297
783,0,0,0,297
784,0,0,0,297
785,0,0,0,297
786,0,0,0,297
787,0,0,0,297
788,0,0,0,297
789,0,0,0,297
790,0,0,0,297
791,0,0,0,297
792,0,0,0,297
793,0,0,0,297
794,0,0,0,297
795,0,0,0,297
796,0,0,0,297
797,0,0,0,297
798,0,0,0,297
799,0,0,0,297
800,0,0,0,297
801,0,0,0,297
802,0,0,0,297
803,0,0,0,297
804,0,0,0,297
805,0,0,0,297
806,0,0,0,297
807,0,0,0,297
808,0,0,0,297
809,0,0,0,297
810,0,0,0,297
811,0,0,0,297
812,0,0,0,297
813,0,0,0,297
814,0,0,0,297
815,0,0,0,297
816,0,0,0,297
817,0,0,0,297
818,0,0,0,297
819,0,0,0,297
820,0,0,0,297
821,0,0,0,297
822,0,0,0,297
823,0,0,0,297
824,0,0,0,297
825,0,0,0,297
826,0,0,0,297
827,0,0,0,297
828,0,0,0,297
829,0,0,0,297
830,0,0,0,297
831,0,0,0,297
832,0,0,0,297
833,0,0,0,297
834,0,0,0,297
835,0,0,0,297
836,0,0,0,297
837,0,0,0,297
838,0,0,0,297
839,0,0,0,297
840,0,0,0,297
841,0,0,0,297
842,0,0,0,297
843,0,0,0,297
