,treatment_toll,death_toll,etaw_toll,patient_toll
0,0,0,0,534
1,0,0,0,534
2,0,0,0,534
3,0,0,0,534
4,0,0,0,534
5,0,0,0,534
6,0,0,0,534
7,0,0,0,534
8,0,0,0,534
9,0,0,0,534
10,0,0,0,534
11,0,0,0,534
12,0,0,0,534
13,0,0,0,534
14,0,0,0,534
15,0,0,0,534
16,0,0,0,534
17,0,0,0,534
18,0,0,0,534
19,0,0,0,534
20,0,0,0,534
21,0,0,0,534
22,0,0,0,534
23,0,0,0,534
24,0,0,0,534
25,0,0,0,534
26,0,0,0,534
27,0,0,0,534
28,0,0,0,534
29,0,0,0,534
30,0,0,0,534
31,0,0,0,534
32,0,0,0,534
33,0,0,0,534
34,0,0,0,534
35,0,0,0,534
36,0,0,0,534
37,0,0,0,534
38,0,0,0,534
39,0,0,0,534
40,0,0,0,534
41,0,0,0,534
42,0,0,0,534
43,0,0,0,534
44,0,0,0,534
45,0,0,0,534
46,0,0,0,534
47,0,0,0,534
48,0,0,0,534
49,0,0,0,534
50,0,0,0,534
51,0,0,0,534
52,0,0,0,534
53,0,0,0,534
54,0,0,0,534
55,0,0,0,534
56,0,0,0,534
57,0,0,0,534
58,0,0,0,534
59,0,0,0,534
60,0,0,0,534
61,0,0,0,534
62,0,0,0,534
63,0,0,0,534
64,0,0,0,534
65,0,0,0,534
66,0,0,0,534
67,0,0,0,534
68,0,0,0,534
69,0,0,0,534
70,0,0,0,534
71,0,0,0,534
72,0,0,0,534
73,0,0,0,534
74,0,0,0,534
75,0,0,0,534
76,0,0,0,534
77,0,0,0,534
78,0,0,0,534
79,0,0,0,534
80,0,0,0,534
81,0,0,0,534
82,0,0,0,534
83,0,0,0,534
84,0,0,0,534
85,0,0,0,534
86,0,0,0,534
87,0,0,0,534
88,0,0,0,534
89,0,0,0,534
90,0,0,0,534
91,0,0,0,534
92,0,0,0,534
93,0,0,0,534
94,0,0,0,534
95,0,0,0,534
96,0,0,0,534
97,0,0,0,534
98,0,0,0,534
99,0,0,0,534
100,0,0,0,534
101,0,0,0,534
102,0,0,0,534
103,0,0,0,534
104,0,0,0,534
105,0,0,0,534
106,0,0,0,534
107,0,0,0,534
108,0,0,0,534
109,0,0,0,534
110,0,0,0,534
111,0,0,0,534
112,0,0,0,534
113,0,0,0,534
114,0,0,0,534
115,0,0,0,534
116,0,0,0,534
117,0,0,0,534
118,0,0,0,534
119,0,0,0,534
120,0,0,0,534
121,0,0,0,534
122,0,0,0,534
123,0,0,0,534
124,0,0,0,534
125,0,0,0,534
126,0,0,0,534
127,0,0,0,534
128,0,0,0,534
129,0,0,0,534
130,0,0,0,534
131,0,0,0,534
132,0,0,0,534
133,0,0,0,534
134,0,0,0,534
135,0,0,0,534
136,0,0,0,534
137,0,0,0,534
138,0,0,0,534
139,0,0,0,534
140,0,0,0,534
141,0,0,0,534
142,0,0,0,534
143,0,0,0,534
144,0,0,0,534
145,0,0,0,534
146,0,0,0,534
147,0,0,0,534
148,0,0,0,534
149,0,0,0,534
150,0,0,0,534
151,0,0,0,534
152,0,0,0,534
153,0,0,0,534
154,0,0,0,534
155,0,0,0,534
156,0,0,0,534
157,0,0,0,534
158,0,0,0,534
159,0,0,0,534
160,0,0,0,534
161,0,0,0,534
162,0,0,0,534
163,0,0,0,534
164,0,0,0,534
165,0,0,0,534
166,0,0,0,534
167,0,0,0,534
168,0,0,0,534
169,0,0,0,534
170,0,0,0,534
171,0,0,0,534
172,0,0,0,534
173,0,0,0,534
174,0,0,0,534
175,0,0,0,534
176,0,0,0,534
177,0,0,0,534
178,0,0,0,534
179,0,0,0,534
180,0,0,0,534
181,0,0,0,534
182,0,0,0,534
183,0,0,0,534
184,0,0,0,534
185,0,0,0,534
186,0,0,0,534
187,0,0,0,534
188,0,0,0,534
189,0,0,0,534
190,0,0,0,534
191,0,0,0,534
192,0,0,0,534
193,0,0,0,534
194,0,0,0,534
195,0,0,0,534
196,0,0,0,534
197,0,0,0,534
198,0,0,0,534
199,0,0,0,534
200,0,0,0,534
201,0,0,0,534
202,0,0,0,534
203,0,0,0,534
204,0,0,0,534
205,0,0,0,534
206,0,0,0,534
207,0,0,0,534
208,0,0,0,534
209,0,0,0,534
210,0,0,0,534
211,0,0,0,534
212,0,0,0,534
213,0,0,0,534
214,0,0,0,534
215,0,0,0,534
216,0,0,0,534
217,0,0,0,534
218,0,0,0,534
219,0,0,0,534
220,0,0,0,534
221,0,0,0,534
222,0,0,0,534
223,0,0,0,534
224,0,0,0,534
225,0,0,0,534
226,0,0,0,534
